project_id,state,district,project_type,land_area_acres,affected_families,compensation_status,approval_delay_days,legal_disputes,possession_status,rehab_progress_pct,stakeholder_responsiveness_pct,historical_performance_score,documentation_status,notification_status,departments_involved,acquisition_stage,historical_delay_count,is_delayed,delay_days,latitude,longitude,geo_source,green_zone_status,green_zone_pct,forest_area_pct,tree_cover_pct,protected_area_distance_km,eco_sensitive_zone,wetland_present,waterbody_distance_m,environmental_clearance_required,environmental_clearance_status,tree_cutting_required,tree_compensation_required,elevation_m,slope_degree,distance_to_road_km,distance_to_highway_km,distance_to_railway_km,distance_to_city_km,terrain_type,land_use_type,agricultural_area_pct,residential_area_pct,commercial_area_pct,industrial_area_pct,land_conversion_required,land_conversion_status,landowners_count,displaced_families,vulnerable_households,livelihood_dependency_pct,consent_status,opposition_level,rehabilitation_required,resettlement_status,ownership_type,ownership_conflict,title_verification_status,title_defect_flag,encumbrance_status,inheritance_dispute,mutation_status,record_completeness_pct,boundary_dispute,court_case_status,required_clearances_count,clearances_obtained_count,public_hearing_status,authority_approval_status,gazette_notification_status,documentation_completeness_pct,estimated_land_value_lakh,estimated_compensation_lakh,compensation_paid_pct,compensation_dispute,market_value_variance_pct,additional_compensation_claim,electricity_infrastructure_present,water_infrastructure_present,utility_shift_required,utility_shift_status,distance_to_school_km,distance_to_hospital_km,distance_to_market_km,flood_risk,waterlogging_risk,erosion_risk,seismic_zone,soil_type,drainage_quality,risk_score_demo,risk_band_demo,data_status,provenance_note
LA-0001,Karnataka,Bengaluru Urban,Highway,53.8,26,Partially Paid,16,2,Partial,57.3,60.8,88.4,Partially Complete,Completed,4,Compensation,0,0,14,23.214902,85.201252,synthetic_demo_district_center,Non-Green Zone,12.3,7.0,16.0,7.84,No,No,624.0,No,Not Required,Yes,Yes,1403.4,7.2,2.2,7.09,4.18,9.14,Plain,Government,50.5,3.8,1.5,4.0,No,Not Required,9,3,1,74.3,Partial,Medium,Yes,Completed,Private,,Verified,No,Clear,No,Not Available,78.1,No,,2,2,Not Required,Partially Approved,Issued,79.9,930.35,1733.67,59.5,No,-8.4,No,Yes,Yes,No,Completed,0.67,4.9,1.26,Low,Low,Low,III,Red,Moderate,39.4,Low,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0002,Maharashtra,Nashik,Metro,59.0,28,Partially Paid,42,1,Full,15.5,76.7,69.3,Incomplete,Pending,6,Rehabilitation,2,0,4,20.072311,85.904054,synthetic_demo_district_center,Non-Green Zone,8.1,2.1,15.1,4.93,No,Yes,757.0,No,Not Required,No,No,312.5,3.3,2.17,13.58,12.71,9.56,Plain,Agricultural,46.4,6.2,2.3,3.8,Yes,Approved,6,3,0,64.3,Partial,Medium,Yes,Completed,Private,,Under Review,No,Clear,No,Not Available,92.7,No,Pending,1,1,Completed,Approved,Issued,59.5,389.62,686.84,56.3,No,-0.0,No,Yes,No,No,Not Required,3.03,3.18,1.04,High,Low,Low,III,Red,Moderate,29.0,Low,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0003,Odisha,Ganjam,Highway,20.7,14,Partially Paid,71,1,Full,64.1,93.1,98.7,Incomplete,Partially Completed,5,Compensation,2,1,66,30.974268,75.907723,synthetic_demo_district_center,Buffer Zone,17.4,4.2,1.9,4.2,No,Yes,206.0,No,Approved,No,No,1148.4,1.2,2.24,5.54,4.25,12.58,Plain,Industrial,88.4,11.7,2.8,1.1,No,Not Required,9,7,1,33.6,Partial,Medium,Yes,Completed,Private,,Verified,No,Clear,No,Updated,94.2,Yes,,5,0,Not Required,Approved,Pending,58.3,2942.91,4616.2,14.4,No,-3.2,Yes,No,Yes,No,Completed,1.34,8.05,5.87,Low,Low,Low,II,Sandy,Moderate,49.6,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0004,Bihar,Nalanda,Highway,23.7,19,Partially Paid,66,1,Partial,58.7,67.5,38.6,Complete,Completed,1,Planning,1,1,157,20.362913,85.77752,synthetic_demo_district_center,Buffer Zone,2.8,2.2,20.9,2.45,No,No,509.0,No,Not Required,No,No,165.0,5.0,3.03,8.09,8.41,23.77,Hilly,Agricultural,72.3,8.7,5.2,0.2,No,Not Required,3,2,2,65.5,Obtained,Low,Yes,In Progress,Private,Possible,Verified,No,Clear,No,Pending,56.5,No,,1,1,Completed,Pending,Pending,51.9,124.44,206.17,32.6,No,34.1,No,No,No,No,Not Required,1.84,2.11,3.77,Medium,Low,Medium,IV,Red,Good,29.5,Low,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0005,Karnataka,Mysuru,Power,7.8,2,Fully Paid,9,2,Not Started,74.4,80.8,59.2,Complete,Completed,5,Compensation,0,0,15,26.066641,91.645267,synthetic_demo_district_center,Non-Green Zone,11.5,5.3,22.5,3.91,No,No,1162.0,No,Not Required,Yes,Yes,1554.4,2.1,0.26,4.69,3.73,3.97,Hilly,Wasteland,41.9,6.2,2.0,0.7,Yes,Not Required,12,2,5,95.9,Partial,Low,Yes,Completed,Institutional,,Verified,No,Clear,No,Updated,98.4,No,,0,0,Completed,Approved,Issued,56.1,2864.47,4420.67,11.6,No,14.4,No,Yes,Yes,No,Not Required,0.59,1.43,2.86,Low,Low,Low,II,Loamy,Good,44.6,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0006,Tamil Nadu,Tiruchirappalli,Airport,36.1,17,Not Started,71,0,Full,53.6,92.7,75.8,Complete,Pending,5,Closure,1,1,103,21.070867,81.851821,synthetic_demo_district_center,Green Zone,22.1,13.3,17.1,1.85,No,No,108.0,Yes,Not Required,No,No,1665.7,4.8,1.04,6.06,10.96,13.43,Plain,Agricultural,74.9,2.3,7.8,4.7,No,Pending,9,5,3,97.0,Obtained,Low,Yes,In Progress,Private,,Under Review,No,Clear,Yes,Not Available,83.3,No,,0,0,Not Required,Pending,Issued,71.1,816.51,943.27,33.4,No,10.3,No,Yes,No,No,In Progress,1.67,1.0,2.69,Low,Low,High,IV,Red,Poor,40.9,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0007,Madhya Pradesh,Gwalior,Highway,37.7,15,Mostly Paid,13,1,Mostly Obtained,53.0,54.3,82.9,Partially Complete,Partially Completed,3,Compensation,1,1,99,20.114241,85.786839,synthetic_demo_district_center,Non-Green Zone,18.6,4.2,18.5,0.9,No,No,905.0,No,Pending,No,No,393.3,10.8,4.06,10.84,2.57,6.08,Plain,Residential,57.1,2.5,0.7,3.6,Yes,Pending,9,2,3,92.2,Obtained,Medium,Yes,Planned,Institutional,Confirmed,Verified,No,Clear,No,Pending,86.7,No,,6,5,Not Required,Pending,Pending,68.6,1857.17,3975.36,80.3,No,-3.5,No,No,Yes,No,In Progress,2.58,0.72,2.09,Low,Low,Low,IV,Laterite,Moderate,29.3,Low,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0008,Karnataka,Bengaluru Urban,Railway,23.4,18,Mostly Paid,33,0,Partial,18.3,60.7,41.2,Complete,Completed,2,Closure,2,0,26,21.297344,81.877235,synthetic_demo_district_center,Buffer Zone,8.0,13.0,10.5,5.53,Yes,No,1519.0,Yes,Approved,No,No,765.2,1.9,1.39,7.17,7.92,10.11,Plateau,Agricultural,72.7,3.6,4.2,0.9,Yes,Not Required,4,0,0,29.4,Obtained,Low,No,In Progress,Joint,,Verified,No,Clear,No,Not Available,74.9,No,,6,0,Pending,Partially Approved,Pending,85.6,1288.65,1290.74,54.9,No,-3.4,Yes,No,No,No,In Progress,1.14,1.54,2.77,Low,High,Medium,III,Alluvial,Moderate,24.8,Low,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0009,Odisha,Puri,Irrigation,57.0,24,Partially Paid,37,1,Full,62.1,88.7,76.4,Complete,Completed,4,Planning,2,0,11,23.286398,85.275547,synthetic_demo_district_center,Non-Green Zone,41.0,3.0,18.3,10.32,No,No,266.0,No,Not Required,No,No,15.6,4.1,5.31,2.5,7.64,15.27,Coastal,Agricultural,62.5,10.3,2.7,1.2,Yes,Pending,5,5,1,56.0,Partial,Low,Yes,Not Required,Private,,Under Review,No,Clear,No,Updated,66.1,No,,4,4,Not Required,Partially Approved,Pending,73.1,1078.75,1190.29,22.2,Yes,14.7,No,Yes,No,No,Not Required,8.84,5.8,3.09,Low,Low,Medium,III,Sandy,Moderate,33.4,Low,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
LA-0010,Bihar,Gaya,Highway,19.1,11,Mostly Paid,7,0,Full,26.4,58.5,70.8,Complete,Completed,2,Notification,1,0,3,20.455362,85.705664,synthetic_demo_district_center,Buffer Zone,51.1,7.6,5.2,3.76,No,No,550.0,No,Pending,No,No,722.7,0.5,4.01,10.43,2.27,27.38,Plain,Agricultural,72.6,7.4,2.6,2.1,No,Approved,8,2,2,76.3,Pending,Low,Yes,In Progress,Private,,Issue Found,Yes,Clear,No,Not Available,71.0,No,,5,3,Completed,Pending,Issued,89.3,2850.29,4161.0,98.3,No,-7.6,No,No,Yes,No,Pending,1.99,3.11,1.07,Low,Low,Low,II,Black,Poor,56.2,Medium,SYNTHETIC_SIH26017_ENHANCED,Synthetic prototype dataset; added features are simulated and must not be represented as official parcel records.
