project_id,state,district,project_type,land_area_acres,affected_families,compensation_status,approval_delay_days,legal_disputes,possession_status,rehab_progress_pct,stakeholder_responsiveness_pct,historical_performance_score,documentation_status,notification_status,departments_involved,acquisition_stage,historical_delay_count,is_delayed,delay_days,geo_source,latitude,longitude,location_type
GIS-0001,Andhra Pradesh,Kurnool,Power,91.1,49,Fully Paid,58,0,Mostly Obtained,63.1,82.6,92.3,Complete,Pending,1,Possession,1,0,24,synthetic_demo_district_reference,15.8281,78.0373,district_reference
GIS-0002,Andhra Pradesh,Tirupati,Highway,19.1,11,Mostly Paid,7,0,Full,26.4,58.5,70.8,Complete,Completed,2,Notification,1,0,3,synthetic_demo_district_reference,13.6288,79.4192,district_reference
GIS-0003,Andhra Pradesh,Vijayawada,Airport,37.2,25,,12,0,Partial,49.2,86.6,44.3,Complete,Completed,2,Rehabilitation,2,0,14,synthetic_demo_district_reference,16.5062,80.648,district_reference
GIS-0004,Andhra Pradesh,Visakhapatnam,Airport,14.6,8,Fully Paid,118,0,Partial,45.6,29.5,70.0,Complete,Completed,5,Compensation,2,1,140,synthetic_demo_district_reference,17.6868,83.2185,district_reference
GIS-0005,Arunachal Pradesh,Itanagar,Irrigation,23.3,10,Partially Paid,31,0,Full,47.1,37.9,45.4,Partially Complete,Completed,4,Compensation,3,0,13,synthetic_demo_district_reference,27.0844,93.6053,district_reference
GIS-0006,Arunachal Pradesh,Pasighat,Highway,23.7,19,Partially Paid,66,1,Partial,58.7,67.5,38.6,Complete,Completed,1,Planning,1,1,157,synthetic_demo_district_reference,28.0667,95.326,district_reference
GIS-0007,Arunachal Pradesh,Tawang,Highway,47.7,28,Fully Paid,29,1,Partial,50.9,63.7,60.0,Partially Complete,Pending,2,Rehabilitation,2,1,57,synthetic_demo_district_reference,27.586,91.859,district_reference
GIS-0008,Assam,Dibrugarh,Metro,23.8,14,Not Started,21,2,Partial,49.2,52.4,76.0,Complete,Pending,4,Possession,1,0,11,synthetic_demo_district_reference,27.4728,94.912,district_reference
GIS-0009,Assam,Guwahati,Railway,74.8,30,Mostly Paid,50,2,Mostly Obtained,47.9,81.8,81.8,Partially Complete,Pending,6,Compensation,3,1,210,synthetic_demo_district_reference,26.1445,91.7362,district_reference
GIS-0010,Assam,Jorhat,Irrigation,9.0,4,Partially Paid,15,1,Mostly Obtained,19.6,71.1,23.7,Complete,Completed,3,Possession,3,0,0,synthetic_demo_district_reference,26.7509,94.2037,district_reference
GIS-0011,Assam,Silchar,Railway,73.0,27,Mostly Paid,28,1,Mostly Obtained,96.7,50.8,65.8,Partially Complete,Partially Completed,4,Notification,4,1,77,synthetic_demo_district_reference,24.8333,92.7789,district_reference
GIS-0012,Bihar,Bhagalpur,Industrial,111.0,44,Fully Paid,4,2,Mostly Obtained,36.7,90.1,66.7,Complete,Partially Completed,6,Possession,1,0,0,synthetic_demo_district_reference,25.2425,86.9842,district_reference
GIS-0013,Bihar,Gaya,Highway,19.6,12,Mostly Paid,44,2,Full,26.7,81.6,72.8,Complete,Completed,2,Rehabilitation,1,0,3,synthetic_demo_district_reference,24.7914,85.0002,district_reference
GIS-0014,Bihar,Muzaffarpur,Highway,48.1,24,Partially Paid,32,3,Full,69.0,88.4,79.8,Complete,Completed,6,Possession,1,0,14,synthetic_demo_district_reference,26.1209,85.3647,district_reference
GIS-0015,Bihar,Patna,Irrigation,17.7,10,Partially Paid,64,0,Partial,60.3,84.4,51.7,Complete,Completed,3,Compensation,0,0,22,synthetic_demo_district_reference,25.5941,85.1376,district_reference
GIS-0016,Chhattisgarh,Bilaspur,Industrial,114.7,49,Mostly Paid,10,2,Not Started,19.3,65.9,68.3,Complete,Completed,2,Possession,0,0,19,synthetic_demo_district_reference,22.0796,82.1409,district_reference
GIS-0017,Chhattisgarh,Jagdalpur,Railway,41.2,27,Partially Paid,110,0,Partial,56.1,47.8,93.4,Complete,Completed,4,Notification,0,1,153,synthetic_demo_district_reference,19.0748,82.008,district_reference
